zone_id,time_period,mode,jobs_15,jobs_30,jobs_45,cluster_jobs_45,access_index_45
134231,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134232,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134241,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134242,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134243,AllDay,transit,0.0,0.0,0.0,0.0,0.0
134251,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135033,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135041,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135042,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135043,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135051,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135052,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135053,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135061,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135062,AllDay,transit,0.0,0.0,0.0,0.0,0.0
135063,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136014,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136041,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136042,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136043,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136044,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136051,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136052,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136053,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136071,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136072,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136081,AllDay,transit,0.0,0.0,0.0,0.0,0.0
136082,AllDay,transit,0.0,0.0,0.0,0.0,0.0
137011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
137012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
137021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
137022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
137023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
138011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
138012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
138013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
138021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
138022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139051,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139052,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139053,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139061,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139062,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139063,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139071,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139072,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139081,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139082,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139091,AllDay,transit,0.0,0.0,0.0,0.0,0.0
139092,AllDay,transit,0.0,0.0,0.0,0.0,0.0
14001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
140011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
140012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
140013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
140014,AllDay,transit,0.0,0.0,0.0,0.0,0.0
14002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
140021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
140022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
14003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
141011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
141012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
141021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
141022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
142001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
142002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
142003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
142004,AllDay,transit,0.0,0.0,0.0,0.0,0.0
143001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
143002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
144001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
144002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
145001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
145002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
145003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
146011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
146012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
146013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
146021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
146022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
146023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
147011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
147012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
147013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
147021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
147022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148033,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148041,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148042,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148043,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148044,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148051,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148052,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148053,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148061,AllDay,transit,0.0,0.0,0.0,0.0,0.0
148062,AllDay,transit,0.0,0.0,0.0,0.0,0.0
149011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
149012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
149013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
149021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
149022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
149023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
15001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
150011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
150012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
150013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
15002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
150021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
150022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
15003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
15004,AllDay,transit,0.0,0.0,0.0,0.0,0.0
151001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
151002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
151003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
151004,AllDay,transit,0.0,0.0,0.0,0.0,0.0
152001,AllDay,transit,0.0,0.0,0.0,0.0,0.0
152002,AllDay,transit,0.0,0.0,0.0,0.0,0.0
152003,AllDay,transit,0.0,0.0,0.0,0.0,0.0
152004,AllDay,transit,0.0,0.0,0.0,0.0,0.0
153011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
153012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
153021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
153022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
153023,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154031,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154032,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154051,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154052,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154053,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154061,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154071,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154072,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154081,AllDay,transit,0.0,0.0,0.0,0.0,0.0
154082,AllDay,transit,0.0,0.0,0.0,0.0,0.0
155011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
155012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
155013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
155014,AllDay,transit,0.0,0.0,0.0,0.0,0.0
155021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
155022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
156011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
156012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
156013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
156021,AllDay,transit,0.0,0.0,0.0,0.0,0.0
156022,AllDay,transit,0.0,0.0,0.0,0.0,0.0
157011,AllDay,transit,0.0,0.0,0.0,0.0,0.0
157012,AllDay,transit,0.0,0.0,0.0,0.0,0.0
157013,AllDay,transit,0.0,0.0,0.0,0.0,0.0
157014,AllDay,transit,0.0,0.0,0.0,0.0,0.0
157041,AllDay,transit,0.0,0.0,0.0,0.0,0.0
157042,AllDay,transit,0.0,0.0,0.0,0.0,0.0
157051,AllDay,transit,0.0,0.0,0.0,0.0,0.0
157052,AllDay,transit,0.0,0.0,0.0,0.0,0.0
