"tract","yr_id","full_name","jobs"
"118.02","2010","Information","0"
"118.02","2010","Finance and Real Estate","0"
"118.02","2010","Professional and Business Services","0"
"118.02","2010","Education and Healthcare","0"
"118.02","2010","Leisure and Hospitality","0"
"118.02","2010","Office Services","0"
"118.02","2010","Government","0"
"118.02","2010","Self-Employed","0"
"119.02","2010","Military","0"
"119.02","2010","Agriculture and Mining","0"
"119.02","2010","Construction","0"
"119.02","2010","Manufacturing","0"
"119.02","2010","Wholesale Trade","0"
"119.02","2010","Retail Trade","0"
"119.02","2010","Transporation, Warehousing, and Utilities","0"
"119.02","2010","Information","0"
"119.02","2010","Finance and Real Estate","0"
"119.02","2010","Professional and Business Services","0"
"119.02","2010","Education and Healthcare","0"
"119.02","2010","Leisure and Hospitality","0"
"119.02","2010","Office Services","0"
"119.02","2010","Government","0"
"119.02","2010","Self-Employed","0"
"12","2010","Military","0"
"12","2010","Agriculture and Mining","0"
"12","2010","Construction","0"
"12","2010","Manufacturing","0"
"12","2010","Wholesale Trade","0"
"12","2010","Retail Trade","0"
"12","2010","Transporation, Warehousing, and Utilities","0"
"12","2010","Information","0"
"12","2010","Finance and Real Estate","0"
"12","2010","Professional and Business Services","0"
"12","2010","Education and Healthcare","0"
"12","2010","Leisure and Hospitality","0"
"12","2010","Office Services","0"
"12","2010","Government","0"
"12","2010","Self-Employed","0"
"120.02","2010","Military","0"
"120.02","2010","Agriculture and Mining","0"
"120.02","2010","Construction","0"
"120.02","2010","Manufacturing","0"
"120.02","2010","Wholesale Trade","0"
"120.02","2010","Retail Trade","0"
"120.02","2010","Transporation, Warehousing, and Utilities","0"
"120.02","2010","Information","0"
"120.02","2010","Finance and Real Estate","0"
"120.02","2010","Professional and Business Services","0"
"120.02","2010","Education and Healthcare","0"
"120.02","2010","Leisure and Hospitality","0"
"120.02","2010","Office Services","0"
"120.02","2010","Government","0"
"120.02","2010","Self-Employed","0"
"120.03","2010","Military","0"
"120.03","2010","Agriculture and Mining","0"
"120.03","2010","Construction","0"
"120.03","2010","Manufacturing","0"
"120.03","2010","Wholesale Trade","0"
"120.03","2010","Retail Trade","0"
"120.03","2010","Transporation, Warehousing, and Utilities","0"
"120.03","2010","Information","0"
"120.03","2010","Finance and Real Estate","0"
"120.03","2010","Professional and Business Services","0"
